video_url,user_url,username,title,view_num,created_at,shortdesc,collected_at
/watch?v=V0zAvlmzDFc&pp=ygUOZ2VudHJpZmljYXRpb24%3D,/@urbandisplacementproject922,UrbanDisplacementProject,Gentrification Explained,489K,8 years,Learn more: http://www.urbandisplacement.org/gentrification-explained “Gentrification Explained” is a short video that unpacks ...,2026-01-21 23:46:03.350118
/watch?v=Vi97H8RHUr0&pp=ygUOZ2VudHJpZmljYXRpb24%3D,/@UrbanDesignLab,Urban Design Lab,What is Gentrification?,172K,2 years,"Explore the intricate phenomenon of gentrification in this enlightening video as we delve into its multifaceted aspects, impact on ...",2026-01-21 23:46:03.351426
/watch?v=h46WVCr4zk0&pp=ygUOZ2VudHJpZmljYXRpb24%3D,/@AboutHere,About Here,Could this be a Solution to Gentrification?,1.4M,2 years,Kensington Market Community Land Trust's community bond campaign is now live! You can inquire about them at this link: ...,2026-01-21 23:46:03.354143
/watch?v=z_f-1lmjQEI&pp=ygUOZ2VudHJpZmljYXRpb24%3D,/@GarrisonHayes,Garrison Hayes,"Am I a gentrifier? Gentrification, explained",60K,2 years,"Trying to avoid an identity crisis, here. Let's dig in. You can find more from Dr. Frazier here: ...",2026-01-21 23:46:03.355225
/watch?v=Vqm5TobNa0M&pp=ygUOZ2VudHJpZmljYXRpb24%3D,/@officialnowplaying,NOW PLAYING,"""It's Called Gentrification"" | Boyz ’N The Hood",937K,3 years,BOYZ N' THE HOOD is NOW PLAYING and can be found to Rent or Buy here: http://DP.SonyPictures.com/BoyzNTheHood BOYZ ...,2026-01-21 23:46:03.356208
/watch?v=eDs8Sy8tJ4o&pp=ygUOZ2VudHJpZmljYXRpb27SBwkJhwoBhyohjO8%3D,/@foilarmsandhog,Foil Arms and Hog,"Gentrification, there goes the neighbourhood...",334K,2 years,"Gentrification, there goes the neighbourhood... #gentrification #sketchcomedy We're touring the U.K, Ireland, Australia, New ...",2026-01-21 23:46:03.357421
/shorts/YY70JilQ_SY,/@CalebHammer,Caleb Hammer,The Problem With GENTRIFICATION,587K,10 months,Download my budgeting app today: https://calebhammer.com/app - don't overcomplicate this crap! All you need is an automated ...,2026-01-21 23:46:03.358781
/watch?v=HijivgdXB6g&list=RDHijivgdXB6g&start_radio=1&pp=ygUOZ2VudHJpZmljYXRpb26gBwE%3D,/channel/UCHqav6MGO19Ar2Zv34cFkNw,Rico 2 Smoove,Rico 2 Smoove - Gentrification Dir By ShotByFlakz,65K,8 months,Check this new video out (Off The Ep “Northern Cali Ol Skool”) let me know what you think in the comments below. ✓ Follow Rico ...,2026-01-21 23:46:03.362120
/watch?v=s07D45uHmVY&pp=ygUOZ2VudHJpZmljYXRpb24%3D,/@Retipster,REtipster,"What is ""Gentrification""?",52K,5 years,Learn more about Gentrification at ...,2026-01-21 23:46:03.363199
/watch?v=cNyH_RBpt7s&pp=ygUOZ2VudHJpZmljYXRpb24%3D,/@TED,TED,How to Revitalize a Neighborhood -- Without Gentrification | Bree Jones | TED,60K,3 years,"The housing market can be vexing: while some neighborhoods get ridiculously expensive and price out longtime residents, others ...",2026-01-21 23:46:03.364876
/shorts/xuxeUCwR1Wg,/@thephiladelphiacitizen,The Philadelphia Citizen,Solve Gentrification: Build Housing in Rich Areas!,2.1K,9 months,"The solution to gentrification is simple: build housing in already wealthy areas, says Sonja Trauss, founder of Yes In My Back Yard ...",2026-01-21 23:46:03.366118
/watch?v=gMz1x5_yF2Q&pp=ygUOZ2VudHJpZmljYXRpb24%3D,/@TEDx,TEDx Talks,Gentrification and what can be done to stop it | Loretta Lees | TEDxBrixton,75K,11 years,"This talk was given at a local TEDx event, produced independently of the TED Conferences. Loretta Lees, a Professor of Human ...",2026-01-21 23:46:03.369990
/watch?v=TDtlfH-Uie8&pp=ygUOZ2VudHJpZmljYXRpb24%3D,/@VersoBooks,Verso Books,Gentrification is NOT Inevitable | Leslie Kern in conversation with David Madden,2.3K,3 years,What does gentrification look like? Can we even agree that it is a process that replaces one community with another? It is a ...,2026-01-21 23:46:03.371578
/watch?v=85KH5jPOhA4&pp=ygUOZ2VudHJpZmljYXRpb24%3D,/@VICENews,VICE News,What Happens When Neighborhoods Gentrify? | The Business of Life,130K,8 years,"Reality check: what should you expect when you move to a new city? http://bit.ly/2rm1ev4 Baratunde Thurston, Lance Freeman, ...",2026-01-21 23:46:03.373087
